Rent,BHK,Size,Bathroom,residence_floor,residence_max_floor,Tenant_bachelors,Tenant_family,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Point of Contact_Contact Builder,Point of Contact_Contact Owner
25000,2,1000,2,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
12500,2,680,2,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
8500,2,720,2,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1
3500,2,500,1,4,5,1,0,1,0,0,0,0,1,0,0,1,0,1
7000,2,800,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
3000,1,160,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
14000,2,1200,2,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0
18000,1,700,1,1,4,1,1,0,1,0,0,0,1,0,0,0,0,1
3500,1,1000,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1
16000,2,1250,2,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0
35000,4,1600,3,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
21000,2,700,1,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
4500,1,450,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
15000,2,839,2,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
4500,1,230,1,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
5500,1,1800,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
8500,2,800,2,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
5000,1,500,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1
8500,2,620,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
9000,2,650,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,1
7500,1,550,1,1,2,1,1,0,1,0,0,0,1,0,1,0,0,0
7000,2,450,2,1,3,1,0,1,0,0,0,0,1,0,0,0,0,1
